,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
289,2013.0,0.61,1.85,0.11,0.44,3.01,26.0,616.0,L,0
290,2009.0,1.4,1.06,0.08,0.47,3.01,94.0,1505.0,H,1
291,2012.0,1.38,1.32,0.05,0.28,3.0,39.0,1247.0,H,1
292,2010.0,2.04,0.63,0.12,0.22,3.0,78.0,131.0,L,0
293,2012.0,2.6,0.2,0.05,0.19,3.0,41.0,131.0,H,1
294,2007.0,1.15,0.04,0.76,1.09,3.0,24.0,173.0,L,0
295,2000.0,1.67,1.18,0.15,0.13,2.99,23.0,20.0,L,0
296,2002.0,0.12,1.26,1.16,0.45,2.99,24.0,65.0,H,1
297,2001.0,1.36,0.86,0.64,0.13,2.99,37.0,466.0,H,1
298,2011.0,0.12,1.01,0.06,0.38,2.96,73.0,2748.0,L,0
299,2014.0,1.01,1.43,0.05,0.04,2.96,85.0,1886.0,H,1
300,2003.0,1.04,1.37,0.06,0.49,2.96,29.0,94.0,L,0
301,2002.0,0.11,1.15,0.04,0.41,2.96,19.0,78.0,H,1
302,2014.0,1.84,0.8,0.04,0.27,2.95,68.0,2658.0,L,0
303,2010.0,1.33,1.1,0.08,0.44,2.95,59.0,572.0,H,1
304,2003.0,2.22,0.51,0.06,0.15,2.9400000000000004,42.0,93.0,H,1
305,2001.0,2.07,0.77,0.05,0.05,2.94,13.0,4.0,L,0
306,2009.0,1.82,0.7,0.15,0.26,2.94,25.0,292.0,H,1
307,2008.0,0.14,0.04,1.19,0.15,2.92,40.0,76.0,H,1
308,2013.0,1.88,0.77,0.06,0.04,2.92,7.0,700.0,L,0
309,2014.0,0.79,1.92,0.05,0.21,2.92,18.0,85.0,L,0
310,2007.0,1.83,0.79,0.03,0.27,2.91,74.0,1692.0,H,1
311,2004.0,1.54,1.14,0.135,0.22,2.9,21.0,30.0,L,0
312,2003.0,0.08,1.24,1.13,0.45,2.9,28.0,45.0,H,1
313,2008.0,0.14,0.08,0.04,0.28,2.89,45.0,18.0,L,0
314,2001.0,0.99,0.32,1.38,0.2,2.89,30.0,16.0,H,1
315,2007.0,1.41,1.12,0.05,0.3,2.89,37.0,23.0,L,0
316,2004.0,1.51,1.12,0.01,0.24,2.89,49.0,69.0,L,0
317,2006.0,0.86,1.04,0.73,0.26,2.89,61.0,179.0,L,0
318,2007.0,1.3,1.26,0.05,0.31,2.87,18.0,15.0,L,0
319,2012.0,2.53,0.15,0.05,0.17,2.86,36.0,179.0,L,0
320,2002.0,2.09,0.63,0.03,0.11,2.86,34.0,52.5,H,1
321,2013.0,1.07,1.31,0.06,0.42,2.85,29.0,1530.0,H,1
322,2011.0,1.98,0.07,0.06,0.34,2.84,60.0,494.0,H,1
323,2009.0,2.52,0.09,0.04,0.22,2.83,58.0,90.0,L,0
324,2007.0,1.65,0.85,0.05,0.28,2.83,88.0,2249.0,H,1
325,2002.0,1.96,0.67,0.1,0.09,2.82,70.0,747.0,H,1
326,2003.0,1.59,1.05,0.04,0.14,2.82,22.0,8.0,L,0
327,2010.0,1.28,1.04,0.07,0.42,2.81,56.0,286.0,L,0
328,2007.0,1.32,1.19,0.05,0.3,2.8,18.0,7.0,L,0
329,2014.0,1.28,0.98,0.07,0.46,2.79,90.0,2944.0,L,0
330,2001.0,0.15,0.22,0.14,0.38,2.79,22.0,39.0,H,1
331,2003.0,1.68,0.74,0.235,0.36,2.78,47.0,241.0,H,1
